Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F,Y2020,Y2020F,Y2021,Y2021F
"3","'008","Albania","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.952000","E","4.069000","E","4.262000","E","4.280000","E","4.388000","E"
"3","'008","Albania","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.599000","E",,,,,,,,
"3","'008","Albania","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","1.204000","E",,,,,,,,
"3","'008","Albania","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.441000","E",,,,,,,,
"3","'008","Albania","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.707000","E",,,,,,,,
"3","'008","Albania","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.911000","E",,,,,,,,
"3","'008","Albania","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.089000","E",,,,,,,,
"3","'008","Albania","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","31.300000","E","23.000000","E","22.200000","E","19.900000","E","15.900000","E"
"3","'008","Albania","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","0.900000","E","0.700000","E","0.600000","E","0.600000","E","0.400000","E"
"4","'012","Algeria","7004","Cost of a healthy diet (PPP dollar per person per day)","6226","Value","PPP dollar per person per day","3.763000","E","3.822000","E","3.796000","E","3.760000","E","4.043000","E"
"4","'012","Algeria","7007","Cost of starchy staples","6226","Value","PPP dollar per person per day","0.496000","E",,,,,,,,
"4","'012","Algeria","7008","Cost of animal source foods","6226","Value","PPP dollar per person per day","0.964000","E",,,,,,,,
"4","'012","Algeria","7009","Cost of legumes, nuts and seeds","6226","Value","PPP dollar per person per day","0.493000","E",,,,,,,,
"4","'012","Algeria","7010","Cost of vegetables","6226","Value","PPP dollar per person per day","0.699000","E",,,,,,,,
"4","'012","Algeria","7011","Cost of fruits","6226","Value","PPP dollar per person per day","0.979000","E",,,,,,,,
"4","'012","Algeria","7012","Cost of oils and fats","6226","Value","PPP dollar per person per day","0.132000","E",,,,,,,,
"4","'012","Algeria","7005","Percentage of the population unable to afford a healthy diet (percent)","6121","Value","%","32.500000","E","31.200000","E","29.200000","E","31.100000","E","32.400000","E"
"4","'012","Algeria","7006","Number of people unable to afford a healthy diet (million)","6132","Value","million No","13.400000","E","13.100000","E","12.500000","E","13.500000","E","14.300000","E"
