;Area Code;Area;Year;Average dietary energy supply adequacy (percent) (3-year average);Average fat supply (g/cap/day) (3-year average);Average protein supply (g/cap/day) (3-year average);Average supply of protein of animal origin (g/cap/day) (3-year average);Cereal import dependency ratio (percent) (3-year average);Coefficient of variation of habitual caloric consumption distribution (real number);Gross domestic product per capita, PPP, (constant 2017 international $);Incidence of caloric losses at retail distribution level (percent);Minimum dietary energy requirement  (kcal/cap/day);Per capita food production variability (constant 2014-2016 thousand int$ per capita);Per capita food supply variability (kcal/cap/day);Percentage of population using at least basic drinking water services (percent);Percentage of population using at least basic sanitation services (percent);Percentage of population using safely managed drinking water services (percent);Percentage of population using safely managed sanitation services (percent);Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average);Value of food imports in total merchandise exports (percent) (3-year average)
0;1;Armenia;2017;135;98,5;101,7;48;47,9;0,2;12509,6;2,56;1868;35,7;42;99;93,5;85,4;64,6;42;29
1;1;Armenia;2018;135;99,1;101,7;48,7;55;0,2;13231,4;2,56;1865;31,4;65;99;93,7;85,9;66,1;43;26
2;1;Armenia;2019;137;100,6;101;48,3;73;0,2;14317,6;2,56;1864;46,9;60;99;93,9;86,4;67,8;43;25
3;1;Armenia;2020;139;100,2;100;47;73,5;0,21;13357,7;2,56;1864;53,2;47;99;93,9;86,9;69,3;44;24
4;1;Armenia;2021;141;;;;;0,2;14193,1;2,56;1865;;38;;;;;;24
5;2;Afghanistan;2017;108;39,7;58,3;11,3;34,2;0,32;2096,1;3,82;1656;6,7;26;66,8;45,8;25,1;;72;388
6;2;Afghanistan;2018;108;40,7;58;10,7;41,3;0,32;2060,7;3,82;1659;5,6;27;69,6;47,4;25,9;;72;378
7;2;Afghanistan;2019;107;40,8;57,3;10,3;40,9;0,33;2079,9;3,82;1661;8,5;31;72,4;49;26,8;;71;311
8;2;Afghanistan;2020;106;40,4;56,3;10;38,1;0,39;1968,3;3,82;1665;8,6;32;75,1;50,5;27,6;;71;284
9;2;Afghanistan;2021;106;;;;;0,39;1516,3;3,82;1667;;31;;;;;;238
10;3;Albania;2017;135;115,7;113;60,3;37,6;0,29;12771;2,64;1909;9,4;46;94,1;98,5;70,6;47,1;36;25
11;3;Albania;2018;135;117,3;113,3;61;37,3;0,3;13317,1;2,64;1909;4,9;27;94,4;99;70,7;47,4;36;21
12;3;Albania;2019;136;116,5;113,7;61,3;38,3;0,29;13653,2;2,64;1908;5,7;14;94,8;99;70,7;47,6;35;18
13;3;Albania;2020;135;114,4;113;60;38,5;0,29;13253,8;2,64;1908;7,4;13;95,1;99;70,7;47,7;35;20
14;3;Albania;2021;135;;;;;0,29;14516,3;2,64;1909;;13;;;;;;24
15;4;Algeria;2017;149;97,3;89,6;25,7;77,4;0,3;11809,5;3,65;1785;9,8;27;93,8;86,5;74,6;18,3;50;25
16;4;Algeria;2018;149;95,2;89,3;25;74,3;0,29;11725,9;3,65;1784;12,3;51;94;86,3;73,9;18,1;50;23
17;4;Algeria;2019;149;92,3;89,7;24,7;72,5;0,29;11627,3;3,65;1783;5,6;52;94,2;86,1;73,1;17,8;51;22
18;4;Algeria;2020;150;93,1;90;24,3;73,8;0,29;10844,8;3,65;1783;7,5;42;94,4;86;72,4;17,6;51;25
19;4;Algeria;2021;151;;;;;0,3;11039,8;3,65;1784;;45;;;;;;28
20;5;American Samoa;2017;;;;;;;;3,02;;;;99;54,5;98,4;;;
21;5;American Samoa;2018;;;;;;;;3,02;;;;99;54,5;98,4;;;
22;5;American Samoa;2019;;;;;;;;3,02;;;;99;54,5;98,4;;;
23;5;American Samoa;2020;;;;;;;;3,02;;;;99;54,5;98,4;;;
24;5;American Samoa;2021;;;;;;;;3,02;;;;;;;;;
25;6;Andorra;2017;;;;;;;;3,02;;;;99;99;90,6;99;;
26;6;Andorra;2018;;;;;;;;3,02;;;;99;99;90,6;99;;
27;6;Andorra;2019;;;;;;;;3,02;;;;99;99;90,6;99;;
28;6;Andorra;2020;;;;;;;;3,02;;;;99;99;90,6;99;;
29;6;Andorra;2021;;;;;;;;3,02;;;;;;;;;
30;7;Angola;2017;116;59,7;52,7;16;43,6;0,3;7216,1;3,2;1666;20,3;90;55,8;49,9;;;60;8
31;7;Angola;2018;116;59,1;52;15,3;41,8;0,3;6878,6;3,2;1668;17,8;97;56,6;51,1;;;61;7
32;7;Angola;2019;115;58,3;50,9;14,6;41,8;0,31;6602,4;3,2;1670;1,9;78;56,9;51,4;;;61;7
33;7;Angola;2020;114;56,8;48,9;13,3;42,9;0,35;6032,3;3,2;1672;2,7;27;57,2;51,7;;;62;7
34;7;Angola;2021;113;;;;;0,36;5908,6;3,2;1674;;8;;;;;;7
35;8;Antigua and Barbuda;2017;;92,7;78,3;50;100;0,24;20777,9;4,18;1904;7,1;;96,7;87,5;;;32;96
36;8;Antigua and Barbuda;2018;;92,6;79;50,3;98,8;0,24;22085,3;4,18;1902;4,3;;;;;;32;98
37;8;Antigua and Barbuda;2019;;92,8;80,3;51,3;94,7;0,24;23035,7;4,18;1904;2,7;;;;;;31;122
38;8;Antigua and Barbuda;2020;;90,6;81;52,3;97,5;0,24;18275,7;4,18;1906;2,4;;;;;;33;251
39;8;Antigua and Barbuda;2021;;;;;;0,24;19124,4;4,18;1904;;;;;;;;401
40;9;Argentina;2017;132;119,3;105;67;-152,3;0,26;23597,1;2,49;1867;64,1;34;;;;;36;3
