Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.952,E
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,4.069,E
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,4.262,E
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,4.28,E
3,'008,Albania,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.388,E
3,'008,Albania,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.599,E
3,'008,Albania,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,1.204,E
3,'008,Albania,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.441,E
3,'008,Albania,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.707,E
3,'008,Albania,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.911,E
3,'008,Albania,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.089,E
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,31.3,E
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,23.0,E
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,22.2,E
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,19.9,E
3,'008,Albania,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,15.9,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,0.9,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,0.7,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,0.6,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,0.6,E
3,'008,Albania,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,0.4,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,3.763,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,3.822,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,3.796,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,3.76,E
4,'012,Algeria,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.043,E
4,'012,Algeria,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.496,E
4,'012,Algeria,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.964,E
4,'012,Algeria,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.493,E
4,'012,Algeria,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,0.699,E
4,'012,Algeria,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.979,E
4,'012,Algeria,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.132,E
4,'012,Algeria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,32.5,E
4,'012,Algeria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,31.2,E
4,'012,Algeria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,29.2,E
4,'012,Algeria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,31.1,E
4,'012,Algeria,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,32.4,E
4,'012,Algeria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,13.4,E
4,'012,Algeria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,13.1,E
4,'012,Algeria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,12.5,E
4,'012,Algeria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,13.5,E
4,'012,Algeria,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,14.3,E
7,'024,Angola,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,4.327,E
7,'024,Angola,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,4.293,E
7,'024,Angola,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,4.352,E
7,'024,Angola,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,4.585,E
7,'024,Angola,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,5.031,E
7,'024,Angola,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.839,E
7,'024,Angola,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,1.011,E
7,'024,Angola,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.395,E
7,'024,Angola,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,1.199,E
7,'024,Angola,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.717,E
7,'024,Angola,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.166,E
7,'024,Angola,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,81.4,E
7,'024,Angola,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,82.7,E
7,'024,Angola,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,83.9,E
7,'024,Angola,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,86.7,E
7,'024,Angola,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,88.1,E
7,'024,Angola,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,24.6,E
7,'024,Angola,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,25.8,E
7,'024,Angola,7006,Number of people unable to afford a healthy diet (million),6132,Value,2019,2019,million No,27.1,E
7,'024,Angola,7006,Number of people unable to afford a healthy diet (million),6132,Value,2020,2020,million No,29.0,E
7,'024,Angola,7006,Number of people unable to afford a healthy diet (million),6132,Value,2021,2021,million No,30.4,E
258,'660,Anguilla,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.778,E
258,'660,Anguilla,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.647,E
258,'660,Anguilla,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.328,E
258,'660,Anguilla,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,1.019,E
258,'660,Anguilla,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,0.811,E
258,'660,Anguilla,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.134,E
8,'028,Antigua and Barbuda,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2017,2017,PPP dollar per person per day,4.112,E
8,'028,Antigua and Barbuda,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2018,2018,PPP dollar per person per day,4.302,E
8,'028,Antigua and Barbuda,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2019,2019,PPP dollar per person per day,4.391,E
8,'028,Antigua and Barbuda,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2020,2020,PPP dollar per person per day,4.504,E
8,'028,Antigua and Barbuda,7004,Cost of a healthy diet (PPP dollar per person per day),6226,Value,2021,2021,PPP dollar per person per day,4.684,E
8,'028,Antigua and Barbuda,7007,Cost of starchy staples,6226,Value,2017,2017,PPP dollar per person per day,0.604,E
8,'028,Antigua and Barbuda,7008,Cost of animal source foods,6226,Value,2017,2017,PPP dollar per person per day,0.682,E
8,'028,Antigua and Barbuda,7009,"Cost of legumes, nuts and seeds",6226,Value,2017,2017,PPP dollar per person per day,0.429,E
8,'028,Antigua and Barbuda,7010,Cost of vegetables,6226,Value,2017,2017,PPP dollar per person per day,1.279,E
8,'028,Antigua and Barbuda,7011,Cost of fruits,6226,Value,2017,2017,PPP dollar per person per day,1.003,E
8,'028,Antigua and Barbuda,7012,Cost of oils and fats,6226,Value,2017,2017,PPP dollar per person per day,0.115,E
8,'028,Antigua and Barbuda,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2017,2017,%,,O
8,'028,Antigua and Barbuda,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2018,2018,%,,O
8,'028,Antigua and Barbuda,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2019,2019,%,,O
8,'028,Antigua and Barbuda,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2020,2020,%,,O
8,'028,Antigua and Barbuda,7005,Percentage of the population unable to afford a healthy diet (percent),6121,Value,2021,2021,%,,O
8,'028,Antigua and Barbuda,7006,Number of people unable to afford a healthy diet (million),6132,Value,2017,2017,million No,,O
8,'028,Antigua and Barbuda,7006,Number of people unable to afford a healthy diet (million),6132,Value,2018,2018,million No,,O
